What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,"If I have to resort to violence to protect my rights, I will","When people are especially nice to me, I wonder what they want",I tell my friends openly when I disagree with them,"Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often disagree with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?,BPAQ Score,Score Category,Game Category
20,male,12th,lahore,joint,action,pubg,3.5,2.5,frustation,4,2,3,1,1,5,2,2,2,1,4,1,5,1,2,1,4,2,2,2,3,2,4,4,4,1,2,0,0,0,no,yes,67,Average,Action
18,male,11th,lahore,joint,action,pubg,3.5,2.5,agerresion .  voilent stunt,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,3,2,yes,yes,115,Very High,Action
16,male,11th,lahore,nuclear,action,pubg,1.5,1.5,aggressive,2,1,3,4,3,3,4,4,3,2,3,4,4,2,4,2,2,3,2,2,2,3,2,3,3,3,2,1,1,2,yes,yes,79,Above Average,Action
19,female,12th,lahore,nuclear,word connect,word connect,0.5,0.5,feel fresh,1,4,5,4,5,2,1,2,2,2,5,2,2,2,4,5,2,2,4,1,4,2,1,4,2,2,2,2,1,2,no,yes,79,Above Average,Puzzle/Casual
19,male,12th,balochistan,joint,action,pubg,2.5,2.5,aggression,4,5,3,2,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,3,2,2,3,3,4,yes,yes,102,Very High,Action
18,male,bachelor,pakistan lahore,joint,action,pubg,0.5,0.5,always attentive,2,4,4,4,2,4,2,2,2,2,4,2,2,2,2,4,2,4,2,4,4,4,2,4,4,2,4,2,2,2,no,yes,86,Above Average,Action
17,male,10th,kasur,nuclear,racing,need for speed,0.5,0.5,i think i forget other important things once start playing,2,4,3,2,4,2,2,3,4,4,4,5,3,1,3,2,3,3,4,2,1,4,4,4,2,2,2,3,3,4,yes,yes,89,Above Average,Sports/Racing
17,male,12th,lahore,joint,sports,cricket ??  and football,0.5,0.5,no chnged,1,1,4,4,2,2,1,4,4,3,4,3,2,5,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,no,no,63,Average,Sports/Racing
19,male,job,alhumdullah,joint,pubg,pubg,2.5,0.5,no it's depends on your mind??????,1,4,4,4,2,4,2,2,4,2,1,1,3,3,1,1,2,1,1,1,1,1,4,1,1,1,2,2,1,4,no,no,62,Average,Shooter
18,male,12th,lahore,extended,sports,pubg,1.5,0.5,"aggression, anxiety",2,4,4,5,1,4,1,2,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,no,no,51,Low,Sports/Racing
